Date,SSE
2023-01-03,3116.51 
2023-01-04,3123.52 
2023-01-05,3155.22 
2023-01-06,3157.64 
2023-01-09,3176.08 
2023-01-10,3169.51 
2023-01-11,3161.84 
2023-01-12,3163.45 
2023-01-13,3195.31 
2023-01-16,3227.59 
2023-01-17,3224.24 
2023-01-18,3224.41 
2023-01-19,3240.28 
2023-01-20,3264.81 
2023-01-30,3269.32 
2023-01-31,3255.67 
2023-02-01,3284.92 
2023-02-02,3285.67 
2023-02-03,3263.41 
2023-02-06,3238.70 
2023-02-07,3248.09 
2023-02-08,3232.11 
2023-02-09,3270.38 
2023-02-10,3260.67 
2023-02-13,3284.16 
2023-02-14,3293.28 
2023-02-15,3280.49 
2023-02-16,3249.03 
2023-02-17,3224.02 
2023-02-20,3290.34 
2023-02-21,3306.52 
2023-02-22,3291.15 
2023-02-23,3287.48 
2023-02-24,3267.16 
2023-02-27,3258.03 
2023-02-28,3279.61 
2023-03-01,3312.35 
2023-03-02,3310.65 
2023-03-03,3328.39 
2023-03-06,3322.03 
2023-03-07,3285.10 
2023-03-08,3283.25 
2023-03-09,3276.09 
2023-03-10,3230.08 
2023-03-13,3268.70 
2023-03-14,3245.31 
2023-03-15,3263.31 
2023-03-16,3226.89 
2023-03-17,3250.55 
2023-03-20,3234.91 
2023-03-21,3255.65 
2023-03-22,3265.75 
2023-03-23,3286.65 
2023-03-24,3265.65 
2023-03-27,3251.40 
2023-03-28,3245.38 
2023-03-29,3240.06 
2023-03-30,3261.25 
2023-03-31,3272.86 
2023-04-03,3296.40 
2023-04-04,3312.56 
2023-04-06,3312.63 
2023-04-07,3327.65 
2023-04-10,3315.36 
2023-04-11,3313.57 
2023-04-12,3327.18 
2023-04-13,3318.36 
2023-04-14,3338.15 
2023-04-17,3385.61 
2023-04-18,3393.33 
2023-04-19,3370.13 
2023-04-20,3367.03 
2023-04-21,3301.26 
2023-04-24,3275.41 
2023-04-25,3264.87 
2023-04-26,3264.10 
2023-04-27,3285.88 
2023-04-28,3323.27 
2023-05-04,3350.46 
2023-05-05,3334.50 
2023-05-08,3395.00 
2023-05-09,3357.67 
2023-05-10,3319.15 
2023-05-11,3309.55 
2023-05-12,3272.36 
2023-05-15,3310.74 
2023-05-16,3290.99 
2023-05-17,3284.23 
2023-05-18,3297.32 
2023-05-19,3283.54 
2023-05-22,3296.47 
2023-05-23,3246.24 
2023-05-24,3204.75 
2023-05-25,3201.26 
2023-05-26,3212.50 
2023-05-29,3221.45 
2023-05-30,3224.21 
2023-05-31,3204.56 
2023-06-01,3204.63 
2023-06-02,3230.07 
2023-06-05,3232.44 
2023-06-06,3195.34 
2023-06-07,3197.76 
2023-06-08,3213.59 
2023-06-09,3231.41 
2023-06-12,3228.83 
2023-06-13,3233.67 
2023-06-14,3228.99 
2023-06-15,3252.98 
2023-06-16,3273.33 
2023-06-19,3255.81 
2023-06-20,3240.36 
2023-06-21,3197.90 
2023-06-26,3150.62 
2023-06-27,3189.44 
2023-06-28,3189.38 
2023-06-29,3182.38 
2023-06-30,3202.06 
2023-07-03,3243.98 
2023-07-04,3245.35 
2023-07-05,3222.95 
2023-07-06,3205.57 
2023-07-07,3196.61 
2023-07-10,3203.70 
2023-07-11,3221.37 
2023-07-12,3196.13 
2023-07-13,3236.48 
2023-07-14,3237.70 
2023-07-17,3209.63 
2023-07-18,3197.82 
2023-07-19,3198.84 
2023-07-20,3169.52 
2023-07-21,3167.75 
2023-07-24,3164.16 
2023-07-25,3231.52 
2023-07-26,3223.03 
2023-07-27,3216.67 
2023-07-28,3275.93 
2023-07-31,3291.04 
2023-08-01,3290.95 
2023-08-02,3261.69 
2023-08-03,3280.46 
2023-08-04,3288.08 
2023-08-07,3268.83 
2023-08-08,3260.62 
2023-08-09,3244.49 
2023-08-10,3254.56 
2023-08-11,3189.25 
2023-08-14,3178.43 
2023-08-15,3176.18 
2023-08-16,3150.13 
2023-08-17,3163.74 
